id_match,formations,score,goals,goals_past,total_shots,shots_on_target,shots_off_target,blocked_shots,total_possession,total_passes,accurate_passes,pass_success,key_passes,dribbles_attempted,dribbles,dribbles_past,dribbles_success,aerials_won,aerial_success,offensive_aerials,defensive_aerials,tackles,tackle_success,tackles_attempted,clearances,interceptions,corners,win,draw,lose
1,4/3/2003,2-Feb,2,2,14,2,8,4,59.4,490,417,85,13,21,12,8,57,21,48,33,11,19,70,27,6,5,9,0,1,0
1,4-2-3-1,2-Feb,2,2,7,3,3,1,40.6,342,266,78,5,11,8,12,73,23,52,11,33,16,57,28,18,9,1,0,1,0
2,4-2-3-1,0 - 3,3,0,18,8,8,2,56.1,552,483,88,15,20,14,11,70,16,80,10,10,12,52,23,18,14,7,1,0,0
2,4-3-2-1,0 - 3,0,3,10,2,6,2,43.9,428,342,80,8,15,11,14,73,4,20,10,10,10,42,24,17,11,5,0,0,1
3,4-1-4-1,Jan-00,0,1,14,4,6,4,43.5,429,351,82,10,6,4,7,67,13,35,18,19,7,50,14,13,20,1,0,0,1
3,4-2-3-1,Jan-00,1,0,11,5,5,1,56.5,557,463,83,7,8,7,4,88,24,65,19,18,5,56,9,10,7,3,1,0,0
4,4/3/2003,Mar-00,0,3,12,4,5,3,65.7,563,501,89,9,17,8,9,47,12,55,11,11,12,57,21,14,12,11,0,0,1
4,4/3/2003,Mar-00,3,0,5,3,2,0,34.3,304,230,76,5,16,9,8,56,10,45,11,11,13,62,21,33,9,4,1,0,0
5,4-1-4-1,Jan-00,1,0,8,3,2,3,44.8,394,333,85,6,16,9,14,56,7,44,10,6,13,48,27,7,12,0,1,0,0
5,4-2-3-1,Jan-00,0,1,10,4,5,1,55.2,489,413,84,6,22,14,9,64,9,56,6,10,10,53,19,14,8,2,0,0,1
6,3/5/2002,Jan-00,0,1,12,5,6,1,38.2,300,244,81,6,13,5,12,38,4,21,9,10,17,59,29,8,18,4,0,0,1
6,4-2-3-1,Jan-00,1,0,14,10,3,1,61.8,503,440,87,10,22,12,5,55,15,79,10,9,13,72,18,4,10,3,1,0,0
7,4/3/2003,2-Mar,2,3,12,3,5,4,64.8,520,434,83,10,26,19,9,73,23,51,19,26,11,55,20,8,6,4,0,0,1
7,4-2-3-1,2-Mar,3,2,12,6,5,1,35.2,277,196,71,9,15,9,19,60,22,49,26,19,10,34,29,22,6,5,1,0,0
8,4/3/2003,2-Feb,2,2,11,4,6,1,57,485,420,87,7,23,13,7,57,11,48,14,9,12,63,19,10,6,6,0,1,0
